品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
vivo iQOO（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙855|2.84  八核|4000mAh  不可拆卸式电池|1200万像素+1300万像素+200万像素|Funtouch OS 9（基于Android 9.0）|8GB|3298
OPPO R17 Pro（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙710|2.2GHz  八核|3700mAh  不可拆卸式电池|2000万像素+1200万像素+TOF 3D 立体摄像头|ColorOS 5.2（基于Android 8.1）|6GB|3999
华为Mate 20 Pro（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  3120x1440像素|海思 Kirin 980|2 x Cortex A76 2.6GHz+2 x Cortex A76 1.92GHz+4 x Cortex A55 1.8GHz  八核|4200mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|EMUI 9.0（基于Android 9.0）|6GB|5399
三星Galaxy S10（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  3040x1440像素|高通 骁龙855|3400mAh  不可拆卸式电池|1600万像素+1200万像素+1200万像素|Android 9.0|8GB|128GB/512GB|5999
荣耀V20（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2310x1080像素|海思 Kirin 980|2×Cortex-A76Based2.6GHz+2×Cortex-A76Based1.92GHz+4×Cortex-A551.8GHz  八核|4000mAh  不可拆卸式电池|4800万像素+TOF立体深感镜头|MagicUI2.0.1（基于Android 9.0）|6GB|2999
vivo NEX双屏版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙845 AIE|2.8GHz  八核|3500mAh  不可拆卸式电池|1200万像素双核像素主摄（OIS）+200万像素夜视摄像头+TOF 3D立体摄像头|Funtouch Os 4.5（基于Android 9.0）|10GB|4998
华为Mate X（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|8英寸  2480x2200像素|海思 Kirin 980+Balong 5000|2 x Cortex A76 2.6GHz+2 x Cortex A76 1.92GHz+4 x Cortex A55 1.8GHz  八核|4500mAh  不可拆卸式电池|4000万像素+1600万像素+800万像素|EMUI 9.1（基于Android 9.0）|8GB
OPPO Find X（标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.42英寸  2340x1080像素|高通 骁龙845|2.8GHz  八核|3730mAh  不可拆卸式电池|2000万像素+1600万像素|Color OS 5.1（基于Android 8.1）|8GB|4999
华为nova 4（标配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2310x1080像素|海思 Kirin 970|3750mAh  不可拆卸式电池|2000万像素+1600万像素+200万像素|EMUI 9.0（基于Android 9.0）|8GB|128GB|3099
苹果iPhone XR（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  1792x828像素|苹果 A12|2942mAh  不可拆卸式电池|1200万像素|iOS 12|3GB|64GB/128GB/256GB|5699
小米9（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙855|1x2.84GHz（超级大核）+3x2.42GHz（大核）+4x1.80GHz（小核）  八核|3300mAh  不可拆卸式电池|4800万像素+1600万像素+1200万像素|MIUI 10（基于Android 9.0）|6GB|2999
苹果iPhone XS（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2436x1125像素|苹果 A12|2658mAh  不可拆卸式电池|双1200万像素广角及长焦镜头|iOS 12|4GB|64GB/256GB/512GB|8699
