AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,hour,date,name
30.0,5.0,4.0,14.0,18.0,2.0,2.0,18.0,19.0,55.0,67.0,58.0,60.0,0.283,0.292,0,20181001,北京
50.0,6.0,10.0,49.0,55.0,12.0,13.0,20.0,29.0,52.0,94.0,65.0,88.0,0.325,0.35,0,20181001,东营
65.0,46.0,34.0,65.0,52.0,11.0,11.0,38.0,25.0,38.0,143.0,80.0,136.0,0.88,0.8,0,20181001,韶关
112.0,29.0,29.0,38.0,47.0,8.0,10.0,13.0,15.0,151.0,188.0,172.0,177.0,0.617,0.667,0,20181001,汕头
89.0,45.0,35.0,54.0,50.0,8.0,13.0,23.0,14.0,130.0,161.0,145.0,150.0,0.733,0.667,0,20181001,湛江
61.0,41.0,35.0,70.0,58.0,20.0,19.0,20.0,15.0,84.0,127.0,107.0,117.0,0.775,0.725,0,20181001,茂名
64.0,33.0,33.0,75.0,58.0,9.0,8.0,48.0,36.0,18.0,151.0,47.0,129.0,0.867,0.867,0,20181001,梅州
100.0,33.0,26.0,62.0,48.0,10.0,9.0,19.0,10.0,142.0,181.0,159.0,166.0,0.733,0.6,0,20181001,汕尾
115.0,53.0,37.0,87.0,55.0,11.0,11.0,44.0,23.0,85.0,205.0,175.0,194.0,1.2,0.8,0,20181001,阳江
63.0,40.0,31.0,74.0,54.0,13.0,9.0,53.0,27.0,61.0,153.0,103.0,144.0,1.0,0.8,0,20181001,清远
108.0,31.0,31.0,46.0,48.0,9.0,9.0,11.0,11.0,155.0,182.0,167.0,167.0,0.8,0.767,0,20181001,潮州
56.0,35.0,30.0,59.0,52.0,14.0,21.0,37.0,29.0,50.0,155.0,89.0,141.0,0.833,0.7,0,20181001,云浮
34.0,18.0,19.0,29.0,32.0,8.0,7.0,12.0,16.0,56.0,85.0,66.0,76.0,0.833,0.8,0,20181001,玉溪
