医院名称,等级,分类,科室,医生,主任医师,副主任医师,主治医师,医院地址1,医院地址2,床位数,日门诊量,建院时间,医院简介,徽标,Y,X
北京协和医院,三级甲等,中国医科院所属医院,51,1409,401,288,720,北京市东城区东单帅府园1号,北京市西城区大木仓胡同41号,2000,12000,1921,北京协和医院是集医疗、教学、科研于一体的大型三级甲等综合医院，是北京协和医学院的临床学院、中国医学科学院的临床医学研究所，是卫生部指定的全国疑难重症诊治指导中心，也是最早承担干部保健和外宾医疗的医院之一。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024519461.jpg,39.9121437070005,116.414176941
中国人民解放军总医院,三级甲等,驻京部队医院,53,1263,379,455,429,北京市海淀区复兴路28号,,3400,9315,1953,国人民解放军总医院(301医院)创建于1953年，是集医疗、保健、教学、科研于一体的大型现代化综合性医院。,http://pimg.39.net//PictureLib/A/f4/c3/20130608/m/71068.jpg,39.9069480900005,116.278099060001
北京大学第三医院,三级甲等,北京大学附属医院,50,681,269,254,158,北京市海淀区花园北路49号 ,,1463,9589,1958,北京大学第三医院(简称“北医三院”)始建于1958年，是卫生部部管的集医疗、教学、科研和预防保健为一体的现代化综合性三级甲等医院。现有在职职工2447人，开放床位1463张。医院设有34个临床科室、11个医技科室。拥有28个博士点、1个临床博士后流动站。在岗博士生导师55人，中科院院士1人、国家自然科学基金杰出青年基金获得者1人、科技部“973”首席科学家1人、教育部 “长江学者特聘教授”2人，1人入选国家级“新世纪百千万人才工程”。,http://images.guahao114.com/img/142.jpg,39.9823951720004,116.359344482001
首都医科大学附属北京同仁医院,三级甲等,北京市卫生局直属医院,48,625,254,184,187,北京市东城区东交民巷1号,北京市东城区崇文门内大街8号,860,4250,1886,首都医科大学附属北京同仁医院创建于1886年(清光绪12年)，是一所以眼科、耳鼻咽喉科和心血管疾病诊疗为重点的大型综合性医院。“同仁”字号和图徽是国家商标局认定的国内医疗服务业首家驰名商标。,http://images.guahao114.com/img/105.jpg,39.9031715390005,116.417816162001
首都医科大学附属北京儿童医院,三级甲等,北京市卫生局直属医院,28,443,161,140,142,北京市西城区南礼士路56号,,970,6301,1942,首都医科大学附属北京儿童医院的前身是我国现代儿科医学奠基人诸福棠院士于1942年创建的北平私立儿童医院，至今已有71年历史。北京儿童医院是集医疗、科研、教学、保健于一体的儿科医学基地，是我国目前规模最大的三级甲等综合性儿科医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024512195.jpg,39.9121284480005,116.355026245001
阜外心血管病医院,三级甲等,中国医科院所属医院,28,397,164,138,95,北京市西城区北礼士路167号,,967,342,1956,阜外心血管病医院始建于1956年，是国家级三级甲等心血管专科医院，还是国内唯一一家集医疗、科研、预防和人才培养于一体的国家级心血管病的医疗诊治、医学教育和医学研究中心。,http://images.guahao114.com/img/4.jpg,39.9246368410004,116.352005005001
中日友好医院,三级甲等,卫生部直属医院,63,720,283,198,239,北京市朝阳区樱花园东街2号,,1500,6100,1984,"中日友好医院于1984年10月23日开院，位于北京市朝阳区樱花园东街2号，建筑面积20余万平方米(含在建面积)，现编制床位1500张，设有68个临床、医技科室，附设中日友好临床医学研究所及培训中心。医院集医疗、教学、科研、康复和预防保健等多项功能为一体，同时承担中央保健医疗康复任务、涉外医疗任务,以及国家卫生应急队伍基地医院中央本级单位建设的重任。",http://pimg.39.net//PictureLib/A/f4/c3//org/13417024443616.jpg,39.9744071960005,116.425788879001
北京大学人民医院,三级甲等,北京大学附属医院,46,613,245,249,119,北京市西城区西直门南大街11号,北京市西城区阜内大街133号,1700,6669,1918,北京大学人民医院创建于1918年，是中国人自行筹资建设和管理的第一家综合性西医医院，最初命名为“北京中央医院”，中国现代医学先驱伍连德博士任首任院长。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024508601.jpg,39.9366188050005,116.353889465001
中国中医科学研究院广安门医院 ,三级甲等,中国中医科学院,29,409,165,145,99,北京市西城区广安门内北线阁5号,西城区白纸坊东街27号,649,7200,1955,中国中医科学院广安门医院(暨中国中医科学院第二临床医药研究所)始建于1955年，是国家中医药管理局直属的集医疗、教学、科研和预防保健为一体的三级甲等中医医院，是中央干部保健基地，全国“示范中医医院”， 2008北京奥运会和残奥会定点医院，北京市医疗保险A类定点医院，首都文明单位标兵，中央国家机关文明单位标兵，首都卫生系统文明单位标兵，中央国家机关平安先进单位，ISO9001质量管理认证单位，还是世界卫生组织传统医学合作中心组成单位，国家食品药品监督管理局国家药物临床实验机构，卫生部西医学习中医教学基地，国家中医药管理局批准的全国中医肿瘤医疗中心和全国中医糖尿病专病及中医肛肠病专病中心以及中医急诊基地建设单位，国家中医药管理局中医药重点学科(中医肿瘤病学、中医内分泌病学、中医肛肠病学、中医心病学、中医心理学、中医痹病学)及肿瘤扶正培本重点研究室建设单位，国家中医药管理局和北京市中医管理局指定为中医药治疗艾滋病定点医院以及北京市艾滋病抗病毒治疗承担单位。承担四所高等中医药大学的临床带教任务。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024513539.jpg,39.9122123720005,116.365676880001
首都医科大学附属北京中医医院,三级甲等,北京市卫生局直属医院,32,368,180,125,63,北京市东城区美术馆后街23号,,597,6000,1956,首都医科大学附属北京中医医院始建于1956年，是北京市唯一的一所市属综合性、现代化三级甲等中医医院。承担着北京市中医医疗、教学、科研、预防等任务。医院下设北京市中医研究所、北京市国际针灸培训中心。,http://pimg.39.net//PictureLib/A/f4/c3/20130618/m/71340.jpg,39.9317436220004,116.408226013001
